palavra,video_url,filename,classe_gramatical,assunto,configuracao_mao
ABREVIAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abreviarSm_Prog001.mp4,ABREVIAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg12.jpg
ABRIDOR DE LATA1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abridor_de_lata1Sm_Prog001.mp4,ABRIDOR DE LATA1.mp4,SUBSTANTIVO,APARELHO/MÁQUINA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg
ABRIDOR DE LATA2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abridor_de_lata2Sm_Prog001.mp4,ABRIDOR DE LATA2.mp4,SUBSTANTIVO,APARELHO/MÁQUINA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg10.jpg
ABRIGAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrigarSm_Prog001.mp4,ABRIGAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg
ABRIGO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrigoSm_Prog001.mp4,ABRIGO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg
ABRIL,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrilSm_Prog001.mp4,ABRIL.mp4,SUBSTANTIVO,ANO SIDERAL,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg
ABRIR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir1Sm_Prog001.mp4,ABRIR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg
ABRIR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir2Sm_Prog001.mp4,ABRIR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg
ABRIR3,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir3Sm_Prog001.mp4,ABRIR3.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg61.jpg
ABRIR4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir4Sm_Prog001.mp4,ABRIR4.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46a.jpg
ABRIR5,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir5Sm_Prog001.mp4,ABRIR5.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg08a.jpg
ABSOLVER,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absolverSm_Prog001.mp4,ABSOLVER.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg
ABSORVENTE HIGIÊNICO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorvente_higienicoSm_Prog001.mp4,ABSORVENTE HIGIÊNICO.mp4,SUBSTANTIVO,HIGIENE/SAÚDE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg37a.jpg
ABSORVER1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorver1Sm_Prog001.mp4,ABSORVER1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg
ABSORVER2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorver2Sm_Prog001.mp4,ABSORVER2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg
ABSTER,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absterSm_Prog001.mp4,ABSTER.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg
ABSURDO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absurdo1Sm_Prog001.mp4,ABSURDO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg58.jpg
ABUSADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abusadoSm_Prog001.mp4,ABUSADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg
ABUSAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abusarSm_Prog001.mp4,ABUSAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg
ACABAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar1Sm_Prog001.mp4,ACABAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg
ACABAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar2Sm_Prog001.mp4,ACABAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
ACABAR3,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar3Sm_Prog001.mp4,ACABAR3.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
ACABAR4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar4Sm_Prog001.mp4,ACABAR4.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg
AÇAÍ,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acaiSm_Prog001.mp4,AÇAÍ.mp4,SUBSTANTIVO,FRUTA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg01.jpg
ACALENTAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acalentarSm_Prog001.mp4,ACALENTAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
ACALMAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acalmar1Sm_Prog001.mp4,ACALMAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg
ACALMAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acalmar2Sm_Prog001.mp4,ACALMAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg
ACAMPAMENTO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acampamentoSm_Prog001.mp4,ACAMPAMENTO.mp4,SUBSTANTIVO,ESPORTE/DIVERSÃO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg37a.jpg
ACAMPAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acamparSm_Prog001.mp4,ACAMPAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg37a.jpg
ACANHADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acanhadoSm_Prog001.mp4,ACANHADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg31.jpg
ACARICIAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acariciarSm_Prog001.mp4,ACARICIAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg
ACASALAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acasalarSm_Prog001.mp4,ACASALAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg32.jpg
ACATAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acatarSm_Prog001.mp4,ACATAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg
ACAUTELAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acautelarSm_Prog001.mp4,ACAUTELAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg
ACEITAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aceitarSm_Prog001.mp4,ACEITAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg
ACELERAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acelerar1Sm_Prog001.mp4,ACELERAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
ACELERAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acelerar2Sm_Prog001.mp4,ACELERAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg51a.jpg
ACENAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acenarSm_Prog001.mp4,ACENAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg
ACENDER FAROL,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender3Sm_Prog001.mp4,ACENDER FAROL.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg
ACENDER ISQUEIRO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender4Sm_Prog001.mp4,ACENDER ISQUEIRO.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg
ACENDER LUZ,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender2Sm_Prog001.mp4,ACENDER LUZ.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg
ACENDER VELA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender1Sm_Prog001.mp4,ACENDER VELA.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg
ACENTO1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acento1Sm_Prog001.mp4,ACENTO1.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg
ACENTO2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acento2Sm_Prog001.mp4,ACENTO2.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg
ACERCAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acercarSm_Prog001.mp4,ACERCAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg
ACERTAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acertar1Sm_Prog001.mp4,ACERTAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg
ACERTAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acertar2Sm_Prog001.mp4,ACERTAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg08a.jpg
ACESO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acesoSm_Prog001.mp4,ACESO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg
ACESSO1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acesso1Sm_Prog001.mp4,ACESSO1.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
ACESSO2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acesso2Sm_Prog001.mp4,ACESSO2.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
ACHAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/achar1Sm_Prog001.mp4,ACHAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg
ACHAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/achar2Sm_Prog001.mp4,ACHAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg35a.jpg
ACIDENTE1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acidente1Sm_Prog001.mp4,ACIDENTE1.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg40.jpg
ACIDENTE2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acidente2Sm_Prog001.mp4,ACIDENTE2.mp4,SUBSTANTIVO,HIGIENE/SAÚDE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg
ACIMA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acimaSm_Prog001.mp4,ACIMA.mp4,ADV.,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg
ACLIVE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acliveSm_Prog001.mp4,ACLIVE.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
ACNE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acneSm_Prog001.mp4,ACNE.mp4,SUBSTANTIVO,HIGIENE/SAÚDE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg
AÇO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acoSm_Prog001.mp4,AÇO.mp4,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg01.jpg
AÇOITAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acoitarSm_Prog001.mp4,AÇOITAR.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg
AÇOITE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acoiteSm_Prog001.mp4,AÇOITE.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg
ACOMODADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acomodadoSm_Prog001.mp4,ACOMODADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg
ACOMODAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acomodarSm_Prog001.mp4,ACOMODAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg
ACOMPANHADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acompanhadoSm_Prog001.mp4,ACOMPANHADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg
ACOMPANHAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acompanhar1Sm_Prog001.mp4,ACOMPANHAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg
ACOMPANHAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acompanhar2Sm_Prog001.mp4,ACOMPANHAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
ACONCHEGAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aconchegarSm_Prog001.mp4,ACONCHEGAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg
ACONSELHAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aconselharSm_Prog001.mp4,ACONSELHAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg50.jpg
ACONTECER1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acontecer1Sm_Prog001.mp4,ACONTECER1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg11.jpg
ACONTECER2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acontecer2Sm_Prog001.mp4,ACONTECER2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg20.jpg
ACONTECER3,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acontecer3Sm_Prog001.mp4,ACONTECER3.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg
ACORDADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acordadoSm_Prog001.mp4,ACORDADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg
