palavra,video_url,filename,classe_gramatical,assunto,configuracao_mao,CM
ABDOMEN,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abdomenSm_Prog001.mp4,ABDOMEN.mp4,SUBSTANTIVO,CORPO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ABELHA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abelhaSm_Prog001.mp4,ABELHA.mp4,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg20.jpg,cg20
ABENCOAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abencoar1Sm_Prog001.mp4,ABENCOAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg42.jpg,cg42
ABENCOAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abencoar2Sm_Prog001.mp4,ABENCOAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ABERTO1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberto1Sm_Prog001.mp4,ABERTO1.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg61.jpg,cg61
ABERTO2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberto2Sm_Prog001.mp4,ABERTO2.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABERTURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberturaSm_Prog001.mp4,ABERTURA.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ABISMAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abismarSm_Prog001.mp4,ABISMAR.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ABOBORA1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobora1Sm_Prog001.mp4,ABOBORA1.mp4,SUBSTANTIVO,LEGUME/VERDURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg51a.jpg,cg51a
ABOBORA2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobora2Sm_Prog001.mp4,ABOBORA2.mp4,SUBSTANTIVO,LEGUME/VERDURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg45.jpg,cg45
ABOBRINHA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobrinhaSm_Prog001.mp4,ABOBRINHA.mp4,SUBSTANTIVO,LEGUME/VERDURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg45.jpg,cg45
ABOCANHAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abocanharSm_Prog001.mp4,ABOCANHAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg,cg47
ABOLICAO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abolicaoSm_Prog001.mp4,ABOLICAO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABONAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abonarSm_Prog001.mp4,ABONAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg,cg04
ABONO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abonoSm_Prog001.mp4,ABONO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg,cg04
ABORRECER,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aborrecerSm_Prog001.mp4,ABORRECER.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46a.jpg,cg46a
ABORRECIDO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aborrecidoSm_Prog001.mp4,ABORRECIDO.mp4,ADJETIVO,SENTIMENTOS,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46a.jpg,cg46a
ABORTAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar1Sm_Prog001.mp4,ABORTAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABORTAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar2Sm_Prog001.mp4,ABORTAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ABOTOAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abotoarSm_Prog001.mp4,ABOTOAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg,cg05
ABRACADABRA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracadabraSm_Prog001.mp4,ABRACADABRA.mp4,SUBSTANTIVO,ESPORTE/DIVERSÃO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ABRACAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracarSm_Prog001.mp4,ABRACAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABRACO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracoSm_Prog001.mp4,ABRACO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABRACO2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abraco2Sm_Prog001.mp4,ABRACO2.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ABREVIAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abreviarSm_Prog001.mp4,ABREVIAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg12.jpg,cg12
ABRIDOR DE LATA1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abridor_de_lata1Sm_Prog001.mp4,ABRIDOR DE LATA1.mp4,SUBSTANTIVO,APARELHO/MÁQUINA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg,cg05
ABRIDOR DE LATA2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abridor_de_lata2Sm_Prog001.mp4,ABRIDOR DE LATA2.mp4,SUBSTANTIVO,APARELHO/MÁQUINA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg10.jpg,cg10
ABRIGAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrigarSm_Prog001.mp4,ABRIGAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABRIGO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrigoSm_Prog001.mp4,ABRIGO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABRIL,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrilSm_Prog001.mp4,ABRIL.mp4,SUBSTANTIVO,ANO SIDERAL,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg,cg05
ABRIR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir1Sm_Prog001.mp4,ABRIR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ABRIR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir2Sm_Prog001.mp4,ABRIR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABRIR3,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir3Sm_Prog001.mp4,ABRIR3.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg61.jpg,cg61
ABRIR4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir4Sm_Prog001.mp4,ABRIR4.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46a.jpg,cg46a
ABRIR5,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir5Sm_Prog001.mp4,ABRIR5.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg08a.jpg,cg08a
ABSOLVER,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absolverSm_Prog001.mp4,ABSOLVER.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ABSORVENTE HIGIENICO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorvente_higienicoSm_Prog001.mp4,ABSORVENTE HIGIENICO.mp4,SUBSTANTIVO,HIGIENE/SAÚDE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg37a.jpg,cg37a
ABSORVER1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorver1Sm_Prog001.mp4,ABSORVER1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ABSORVER2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorver2Sm_Prog001.mp4,ABSORVER2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ABSTER,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absterSm_Prog001.mp4,ABSTER.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ABSURDO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absurdo1Sm_Prog001.mp4,ABSURDO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg58.jpg,cg58
ABUSADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abusadoSm_Prog001.mp4,ABUSADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ABUSAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abusarSm_Prog001.mp4,ABUSAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ACABAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar1Sm_Prog001.mp4,ACABAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ACABAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar2Sm_Prog001.mp4,ACABAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ACABAR3,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar3Sm_Prog001.mp4,ACABAR3.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ACABAR4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar4Sm_Prog001.mp4,ACABAR4.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ACAI,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acaiSm_Prog001.mp4,ACAI.mp4,SUBSTANTIVO,FRUTA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg01.jpg,cg01
ACALENTAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acalentarSm_Prog001.mp4,ACALENTAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ACALMAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acalmar1Sm_Prog001.mp4,ACALMAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ACALMAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acalmar2Sm_Prog001.mp4,ACALMAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ACAMPAMENTO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acampamentoSm_Prog001.mp4,ACAMPAMENTO.mp4,SUBSTANTIVO,ESPORTE/DIVERSÃO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg37a.jpg,cg37a
ACAMPAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acamparSm_Prog001.mp4,ACAMPAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg37a.jpg,cg37a
ACANHADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acanhadoSm_Prog001.mp4,ACANHADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg31.jpg,cg31
ACARICIAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acariciarSm_Prog001.mp4,ACARICIAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ACASALAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acasalarSm_Prog001.mp4,ACASALAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg32.jpg,cg32
ACATAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acatarSm_Prog001.mp4,ACATAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ACAUTELAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acautelarSm_Prog001.mp4,ACAUTELAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ACEITAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aceitarSm_Prog001.mp4,ACEITAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg,cg47
ACELERAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acelerar1Sm_Prog001.mp4,ACELERAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ACELERAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acelerar2Sm_Prog001.mp4,ACELERAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg51a.jpg,cg51a
ACENAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acenarSm_Prog001.mp4,ACENAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ACENDER FAROL,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender3Sm_Prog001.mp4,ACENDER FAROL.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ACENDER ISQUEIRO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender4Sm_Prog001.mp4,ACENDER ISQUEIRO.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg,cg07
ACENDER LUZ,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender2Sm_Prog001.mp4,ACENDER LUZ.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ACENDER VELA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender1Sm_Prog001.mp4,ACENDER VELA.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ACENTO1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acento1Sm_Prog001.mp4,ACENTO1.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ACENTO2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acento2Sm_Prog001.mp4,ACENTO2.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ACERCAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acercarSm_Prog001.mp4,ACERCAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg,cg47
ACERTAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acertar1Sm_Prog001.mp4,ACERTAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ACERTAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acertar2Sm_Prog001.mp4,ACERTAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg08a.jpg,cg08a
ACESO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acesoSm_Prog001.mp4,ACESO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ACESSO1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acesso1Sm_Prog001.mp4,ACESSO1.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ACESSO2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acesso2Sm_Prog001.mp4,ACESSO2.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ACHAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/achar1Sm_Prog001.mp4,ACHAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ACHAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/achar2Sm_Prog001.mp4,ACHAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg35a.jpg,cg35a
ACIDENTE1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acidente1Sm_Prog001.mp4,ACIDENTE1.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg40.jpg,cg40
ACIDENTE2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acidente2Sm_Prog001.mp4,ACIDENTE2.mp4,SUBSTANTIVO,HIGIENE/SAÚDE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ACIMA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acimaSm_Prog001.mp4,ACIMA.mp4,ADV.,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ACLIVE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acliveSm_Prog001.mp4,ACLIVE.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ACNE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acneSm_Prog001.mp4,ACNE.mp4,SUBSTANTIVO,HIGIENE/SAÚDE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ACO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acoSm_Prog001.mp4,ACO.mp4,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg01.jpg,cg01
ACOITAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acoitarSm_Prog001.mp4,ACOITAR.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg,cg05
ACOITE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acoiteSm_Prog001.mp4,ACOITE.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg,cg05
ACOMODADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acomodadoSm_Prog001.mp4,ACOMODADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg,cg07
ACOMODAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acomodarSm_Prog001.mp4,ACOMODAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg,cg07
ACOMPANHADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acompanhadoSm_Prog001.mp4,ACOMPANHADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg,cg07
ACOMPANHAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acompanhar1Sm_Prog001.mp4,ACOMPANHAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg,cg07
ACOMPANHAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acompanhar2Sm_Prog001.mp4,ACOMPANHAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ACONCHEGAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aconchegarSm_Prog001.mp4,ACONCHEGAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg,cg04
ACONSELHAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aconselharSm_Prog001.mp4,ACONSELHAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg50.jpg,cg50
ACONTECER1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acontecer1Sm_Prog001.mp4,ACONTECER1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg11.jpg,cg11
